Date,Date,CRSP Market Cap,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction,total_deaths,no_affected
2000,1,4,0,0,0,0,0,0,0,1,1,4,3,3,1,1,4,5,0
2000,2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,25,1731
2000,3,2,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,5,3000
2000,5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,5,25840
2000,10,3,0,0,0,3,0,3,0,0,1,1,3,0,0,1,2,2,14418
2000,12,2,0,0,0,1,0,1,0,1,1,2,2,0,0,2,0,69,0
2001,3,3,3,0,0,3,0,3,0,3,1,1,3,1,2,2,1,2,592
2001,4,4,4,0,0,4,0,4,0,3,2,4,4,0,0,1,2,7,7001
2001,9,3,1,0,0,3,1,1,3,3,2,3,3,0,0,3,3,2,0
2002,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,52,0
2002,5,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,12,1150
2002,6,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,24,145500
2002,7,8,6,0,0,7,3,4,6,6,5,6,7,3,4,6,5,214,3523
2002,9,4,4,0,0,3,0,4,2,2,3,2,3,2,2,4,3,1,16400
2002,10,5,3,0,0,5,0,4,4,5,2,5,4,1,2,1,4,0,101
2002,11,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,36,3600
2003,3,4,3,0,0,4,0,4,3,3,0,4,3,2,0,2,3,9,0
2003,4,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,13,0
2007,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,40,6600
2007,8,2,0,1,1,2,1,1,1,2,2,1,0,0,1,0,2,33,2800
2007,10,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,8,640000
2007,11,4,1,1,4,4,4,3,2,4,3,1,3,0,0,0,3,0,10000
2007,12,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,63,1100
2008,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,18,1500
2008,2,2,1,0,2,2,1,2,2,2,2,2,1,0,2,0,1,59,2100
2008,3,2,2,1,2,2,2,2,2,2,2,2,2,0,0,1,2,20,1150
2008,4,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,3,0
2008,6,2,1,2,2,2,2,1,1,1,0,1,1,1,2,0,1,25,11000000
2008,7,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
2008,8,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,19,400
2008,9,9,5,6,9,9,9,8,8,5,6,7,7,3,6,1,6,125,2300000
2008,11,13,10,11,12,13,12,11,12,10,12,11,13,5,6,4,12,0,55000
2008,12,8,5,7,8,7,7,8,5,5,5,5,7,2,4,4,7,5,30000
2009,1,7,2,4,6,6,7,5,6,6,7,7,7,0,0,0,7,58,0
2009,2,5,1,3,4,5,5,4,5,5,4,3,5,2,3,1,4,16,0
2009,3,7,6,6,7,7,7,7,6,5,7,7,6,2,3,5,7,8,5000
2009,4,3,1,3,3,3,3,3,3,3,3,3,3,0,0,0,3,15,1750
2009,5,4,0,3,4,4,4,3,4,3,3,4,3,0,2,0,4,7,0
2009,6,2,0,1,1,1,2,0,2,2,2,2,1,0,1,0,2,1,0
2009,7,2,1,2,2,2,2,1,1,2,2,2,2,0,1,0,2,3,0
2010,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,0
2010,5,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,25,0
2010,6,4,4,3,3,4,3,3,4,4,4,4,2,1,1,1,4,40,0
2010,9,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,9,0
2011,8,9,9,9,7,9,7,9,8,9,9,9,8,4,4,8,9,55,370100
2011,9,5,3,5,5,5,4,2,2,5,5,5,2,0,0,2,5,19,600
2011,10,3,1,3,3,3,3,1,3,3,3,3,2,0,0,1,3,29,0
2011,12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,6,0
2012,6,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,165,26300
2013,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,3,1089
2015,8,3,3,1,2,3,1,2,2,2,3,3,3,3,1,3,3,8,600
2015,9,3,3,1,3,1,0,1,3,2,2,2,2,0,1,3,2,26,0
2016,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,50,85000000
2016,6,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,25,2036
2018,3,2,1,2,0,2,0,0,2,1,0,1,2,0,0,1,1,9,0
2018,10,2,2,2,1,1,0,2,2,2,2,2,2,0,0,1,2,50,5000
2018,12,3,2,3,2,2,2,3,3,3,3,3,3,2,1,1,2,2,0
2019,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,45,0
2020,3,18,14,15,14,17,14,16,18,17,14,16,17,15,14,15,15,25,12000
2020,4,5,5,4,4,4,4,3,4,3,3,3,4,2,4,4,5,38,0
